NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
55;2023;4;20;9;1;1;11;1;:;N;N;4;1;1;3;N;;;;;;;1;02;7;03;2;;;0;1;180,68200
56;2023;4;20;3;1;1;17;1;:;N;N;2;1;;;N;;;;;;;4;04;8;04;2;;;;1;207,66540
56;2023;4;20;3;6;1;13;1;:;N;N;2;1;;;N;;;;;;;4;04;5;10;2;;;;2;144,03560
57;2023;4;20;9;1;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;8;02;4;2;1;40;1;164,01500
58;2023;4;20;3;1;1;13;1;:;N;N;4;1;1;5;N;;;;;;;1;02;9;08;4;2;1;0;1;139,71860
59;2023;4;20;3;6;1;13;1;:;N;N;4;1;;;S;6;2;N;;66;N;4;04;9;08;4;2;;;1;178,79020
60;2023;4;01;2;1;1;05;1;:;N;N;4;1;1;4;N;;;;;;;1;02;4;04;4;2;5;8;3;240,57640
60;2023;4;01;2;1;1;12;1;:;N;N;4;1;1;4;N;;;;;;;1;02;1;09;4;2;5;32;1;273,98760
60;2023;4;01;2;6;2;11;1;:;N;N;4;1;1;4;N;;;;;;;1;02;1;02;4;2;1;32;2;233,23680
60;2023;4;01;2;6;1;05;1;:;S;N;4;2;2;5;N;;;;;;;1;02;4;02;4;2;1;0;3;247,02630
61;2023;4;20;3;1;2;17;1;:;N;N;2;1;;;N;;;;;;;4;04;1;03;2;;;;1;216,30750
61;2023;4;20;3;6;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;8;02;4;2;5;40;3;126,72740
61;2023;4;20;3;6;2;16;1;:;N;N;2;1;;;N;;;;;;;4;04;5;09;4;1;;;2;223,89970
62;2023;4;48;1;6;2;11;1;:;N;N;4;1;1;2;N;;;;;;;1;02;3;09;2;;;40;1;203,27810
62;2023;4;48;1;6;3;08;2;:;N;N;4;1;;;S;6;2;S;07;16;S;2;05;9;10;4;2;;;4;207,11970
63;2023;4;20;9;6;1;09;1;:;N;N;4;2;;;N;;;;;;;4;07;5;04;4;2;;;2;158,73970
63;2023;4;20;9;1;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;02;8;04;4;2;1;40;1;130,36780
64;2023;4;01;2;1;2;12;1;:;N;S;3;1;;;N;;;;;;;4;04;3;09;4;1;;;4;199,43220
64;2023;4;01;2;1;2;13;1;:;N;N;3;1;;;N;;;;;;;4;04;3;09;4;1;;;1;163,10070
65;2023;4;20;3;1;1;10;1;:;N;N;4;2;1;4;N;;;;;;;1;02;2;05;4;2;1;8;2;183,29940
65;2023;4;20;3;6;1;10;1;:;N;N;4;1;1;4;N;;;;;;;1;02;3;02;4;2;1;16;1;167,79440
65;2023;4;20;3;6;1;04;1;:;S;N;4;3;;;N;;;;;;;4;04;;;;;;;3;185,08460
65;2023;4;20;3;1;1;04;1;:;S;N;4;3;;;N;;;;;;;4;04;;;;;;;3;198,61340
66;2023;4;20;9;1;1;10;1;:;N;S;4;1;1;2;N;;;;;;;1;02;9;02;4;2;1;40;2;162,87030
66;2023;4;20;9;6;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;171,61690
66;2023;4;20;9;6;1;12;1;:;N;N;4;1;2;2;N;;;;;;;1;02;3;10;4;2;2;30;1;163,15230
67;2023;4;48;9;1;2;15;1;:;N;N;2;1;;;N;;;;;;;4;04;8;02;4;2;;;1;224,50450
68;2023;4;01;9;6;1;14;1;:;N;N;4;1;;;N;;;;;;;4;04;9;10;4;2;;;2;53,12600
68;2023;4;01;9;1;1;15;1;:;N;N;2;3;;;N;;;;;;;4;07;7;02;4;2;;;1;50,85350
69;2023;4;48;1;6;2;14;1;:;N;N;4;1;;;N;;;;;;;4;04;;;;;;;2;188,77220
69;2023;4;48;1;1;2;15;1;:;N;N;2;1;;;N;;;;;;;4;04;4;04;4;1;;;1;176,77940
70;2023;4;48;9;1;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;02;2;05;4;2;1;40;1;218,90010
70;2023;4;48;9;1;1;04;1;:;S;N;4;3;2;2;N;;;;;;;1;02;5;04;4;2;1;26;3;233,81880
70;2023;4;48;9;6;1;12;1;:;N;N;4;1;;;N;;;;;;;4;04;2;05;4;2;;;2;233,29160
71;2023;4;20;9;6;1;11;1;:;N;N;4;1;;;S;6;2;S;07;84;S;2;05;3;10;4;2;;;1;160,83570
71;2023;4;20;9;6;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;154,26120
71;2023;4;20;9;1;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;8;04;4;2;1;40;2;144,62560
72;2023;4;20;3;1;2;13;1;:;N;N;4;1;1;2;N;;;;;;;1;02;8;04;4;2;1;40;1;111,20870
72;2023;4;20;3;6;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;02;1;09;4;2;1;40;2;114,60120
73;2023;4;01;2;6;1;12;1;:;N;N;4;1;1;4;N;;;;;;;1;02;3;09;4;1;1;0;2;177,42650
73;2023;4;01;2;1;1;13;1;:;N;N;4;1;1;4;N;;;;;;;1;02;7;02;2;;;16;1;187,64280
74;2023;4;48;9;6;1;06;1;:;S;N;4;1;;;N;;;;;;;4;04;;;;;;;3;305,63340
74;2023;4;48;9;1;1;12;1;:;N;N;4;1;1;3;N;;;;;;;1;02;8;08;4;2;1;0;1;240,93060
74;2023;4;48;9;6;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;02;5;09;4;1;5;35;2;230,31210
75;2023;4;20;9;6;1;06;1;:;N;N;4;1;;;S;6;2;S;07;99;S;3;05;;;;;;;1;263,24460
75;2023;4;20;9;6;1;02;1;:;S;;;;;;;;;;;;;;;;;;;;;3;155,82700
75;2023;4;20;9;6;1;02;1;:;S;;;;;;;;;;;;;;;;;;;;;3;155,82700
76;2023;4;20;9;6;1;16;1;:;N;N;4;1;;;N;;;;;;;4;04;7;10;4;2;;;1;126,75670
77;2023;4;48;1;6;1;13;1;:;N;N;4;1;;;N;;;;;;;4;04;5;04;2;;;;1;247,96180
78;2023;4;01;9;6;1;15;1;:;N;N;4;2;;;N;;;;;;;4;07;7;04;4;2;;;1;60,91710
79;2023;4;48;9;1;1;11;1;:;N;N;3;1;;;N;;;;;;;4;04;5;04;2;;;;1;220,78350
79;2023;4;48;9;6;1;05;1;:;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;191,65680
79;2023;4;48;9;6;1;11;1;:;N;N;4;1;2;4;N;;;;;;;1;02;9;10;4;2;1;12;2;198,68250
80;2023;4;48;9;1;1;02;1;:;S;;;;;;;;;;;;;;;;;;;;;3;241,38470
80;2023;4;48;9;1;1;02;1;:;S;;;;;;;;;;;;;;;;;;;;;3;241,38470
80;2023;4;48;9;1;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;3;10;4;2;1;40;1;209,16540
80;2023;4;48;9;6;2;10;1;:;N;S;4;1;1;2;N;;;;;;;1;02;3;09;4;1;1;35;2;210,10870
81;2023;4;20;9;6;2;05;1;:;N;N;4;2;1;4;N;;;;;;;1;02;2;09;4;1;5;24;3;195,05640
