"age","matricule","nationality","place_birth","sex","province","household_duties","relation_to_activity1","relation_to_activity2"
10,"11683_5116",1,1,6,48,2,1,2
13,"11684_5117",1,1,6,48,1,4,4
12,"11685_5117",1,1,1,48,1,1,2
6,"11686_5117",1,1,1,48,3,1,2
18,"11687_5118",1,2,1,20,3,4,7
18,"11688_5118",1,2,6,20,1,4,4
18,"11689_5119",1,2,6,1,1,4,4
13,"11690_5120",1,1,1,48,1,1,2
11,"11691_5121",1,2,1,48,1,1,2
10,"11692_5121",1,1,6,48,1,1,2
3,"11693_5121",1,1,6,48,NA,NA,NA
14,"11694_5122",1,2,6,1,1,4,4
14,"11695_5122",1,2,1,1,1,4,4
10,"11696_5123",1,1,1,20,1,1,1
6,"11697_5124",1,1,1,48,1,1,2
12,"11698_5125",1,2,6,20,1,4,4
12,"11699_5125",1,1,1,20,1,1,2
5,"11700_5125",1,2,6,20,3,2,6
5,"11701_5125",1,2,6,20,2,1,2
11,"11702_5126",1,1,6,48,1,4,4
12,"11703_5127",1,1,6,48,1,1,2
12,"11704_5127",1,1,1,48,1,4,4
11,"11705_5127",1,1,6,48,1,1,2
7,"11706_5127",1,1,1,48,2,4,7
12,"11707_5128",1,3,6,1,1,2,5
8,"11708_5128",1,3,6,1,3,3,6
12,"11709_5129",1,1,6,48,1,4,4
7,"11710_5129",1,1,6,48,1,1,3
6,"11711_5129",1,1,6,48,1,2,5
15,"11712_5130",1,1,1,1,1,4,4
13,"11713_5130",1,1,6,1,1,4,4
18,"11714_5131",1,1,6,48,4,4,7
14,"11715_5131",1,1,6,48,1,4,4
14,"11716_5131",1,1,1,48,2,4,7
13,"11717_5132",1,1,1,48,1,1,2
13,"11718_5132",1,1,6,48,1,1,2
10,"11719_5133",1,1,1,1,1,1,2
12,"11720_5134",2,3,6,48,1,1,3
2,"11721_5135",1,1,6,48,NA,NA,NA
1,"11722_5135",1,1,6,48,NA,NA,NA
9,"11723_5135",1,1,6,48,1,1,2
9,"11724_5135",1,1,1,48,1,1,2
15,"11725_5136",1,1,1,20,1,4,4
9,"11726_5136",2,3,6,20,1,1,2
9,"11727_5136",1,1,1,20,1,1,2
3,"11728_5136",2,3,1,20,NA,NA,NA
14,"11729_5136",1,1,6,20,1,4,4
11,"11730_5137",1,1,6,48,1,1,2
4,"11731_5137",1,1,1,48,2,4,4
8,"11732_5138",1,1,6,1,1,1,2
8,"11733_5138",1,2,1,1,1,1,2
1,"11734_5138",1,1,6,1,NA,NA,NA
16,"11735_5139",1,1,6,48,1,4,4
17,"11736_5139",1,1,1,48,2,4,7
18,"11737_5140",1,2,1,48,2,4,7
13,"11738_5141",1,1,6,1,1,4,4
10,"11739_5142",1,1,6,48,1,1,2
10,"11740_5142",1,2,1,48,1,1,2
3,"11741_5142",1,1,1,48,NA,NA,NA
2,"11742_5142",1,1,1,48,NA,NA,NA
18,"11743_5143",1,2,6,20,1,4,4
13,"11744_5143",1,1,6,20,1,1,2
3,"11745_5144",1,1,6,20,NA,NA,NA
3,"11746_5144",1,1,1,20,NA,NA,NA
11,"11747_5144",1,1,6,20,1,1,2
10,"11748_5144",1,1,1,20,1,1,2
10,"11749_5145",2,3,6,20,1,1,2
10,"11750_5145",1,1,1,20,1,1,2
5,"11751_5145",2,3,1,20,2,1,2
14,"11752_5146",1,1,6,1,1,4,4
10,"11753_5147",1,1,1,48,1,1,2
9,"11754_5148",1,1,6,48,1,1,2
9,"11755_5148",1,2,1,48,1,1,2
3,"11756_5148",1,1,6,48,NA,NA,NA
2,"11757_5148",1,1,6,48,NA,NA,NA
8,"11758_5149",1,1,1,20,2,1,2
16,"11759_5149",1,1,1,20,1,4,4
16,"11760_5149",1,1,6,20,2,4,7
8,"11761_5150",2,3,6,48,1,1,1
17,"11762_5150",1,1,6,48,4,4,7
5,"11763_5151",1,2,6,1,3,4,4
8,"11764_5151",1,2,6,1,1,1,2
1,"11765_5151",1,1,6,1,NA,NA,NA
15,"11766_5152",1,1,1,20,1,4,4
14,"11767_5152",1,1,6,20,1,4,4
10,"11768_5153",1,1,1,1,1,1,2
9,"11769_5153",1,1,6,1,1,1,2
3,"11770_5153",1,1,1,1,NA,NA,NA
3,"11771_5153",1,1,6,1,NA,NA,NA
11,"11772_5154",1,1,1,48,1,1,1
10,"11773_5154",1,1,6,48,1,4,4
4,"11774_5154",1,1,6,48,3,4,4
13,"11775_5155",1,1,6,20,1,1,2
5,"11776_5155",1,1,1,20,2,4,4
6,"11777_5155",1,1,6,20,2,1,2
12,"11778_5155",1,1,1,20,1,1,1
1,"11779_5156",2,1,1,48,NA,NA,NA
9,"11780_5156",2,3,1,48,4,1,2
8,"11781_5156",2,3,6,48,1,4,4
2,"11782_5156",2,1,6,48,NA,NA,NA
14,"11783_5157",1,2,1,20,1,4,4
13,"11784_5157",1,1,6,20,1,4,4
9,"11785_5158",2,3,1,48,1,1,1
8,"11786_5158",1,1,6,48,1,1,2
9,"11787_5159",1,1,1,20,1,1,2
9,"11788_5160",1,2,1,1,2,1,2
16,"11789_5160",1,2,6,1,1,4,4
16,"11790_5160",1,1,1,1,2,4,7
15,"11791_5161",1,1,1,48,2,4,7
14,"11792_5161",1,1,6,48,1,4,4
10,"11793_5162",1,1,6,48,1,1,2
9,"11794_5162",1,2,1,48,1,1,2
9,"11795_5163",1,1,6,48,1,1,2
1,"11796_5163",1,1,1,48,NA,NA,NA
10,"11797_5163",1,1,1,48,1,1,2
17,"11798_5164",1,2,6,48,1,4,4
18,"11799_5164",1,2,1,48,4,4,7
12,"11800_5165",1,1,6,48,1,1,2
5,"11801_5165",1,1,1,48,4,4,7
8,"11802_5166",1,1,1,1,1,1,1
6,"11803_5167",2,3,1,48,1,4,4
6,"11804_5167",2,3,1,48,1,1,2
6,"11805_5167",2,3,6,48,1,4,4
18,"11806_5168",1,2,1,20,3,4,7
18,"11807_5168",1,2,6,20,1,4,4
14,"11808_5169",1,1,6,48,1,4,4
18,"11809_5170",1,2,6,48,1,4,4
9,"11810_5171",1,1,1,1,1,1,2
9,"11811_5171",1,1,6,1,1,1,2
2,"11812_5171",1,1,1,1,NA,NA,NA
1,"11813_5171",1,1,1,1,NA,NA,NA
11,"11814_5172",1,1,1,20,1,1,2
8,"11815_5173",1,1,1,1,1,1,2
16,"11816_5174",1,2,1,1,1,4,4
10,"11817_5174",1,1,6,1,1,2,5
14,"11818_5175",1,2,6,1,1,4,4
10,"11819_5176",1,1,1,20,1,1,2
10,"11820_5177",1,1,6,1,1,2,5
4,"11821_5177",1,1,6,1,2,4,4
4,"11822_5177",1,1,6,1,2,4,4
14,"11823_5178",1,1,1,48,1,4,4
13,"11824_5178",1,1,6,48,2,4,7
14,"11825_5179",1,1,1,20,1,4,4
15,"11826_5180",1,2,1,48,1,4,4
14,"11827_5180",1,1,6,48,1,4,4
5,"11828_5181",1,1,1,48,1,4,4
3,"11829_5181",1,1,1,48,2,NA,NA
11,"11830_5181",1,2,1,48,1,1,2
15,"11831_5182",1,1,1,48,1,4,4
15,"11832_5182",1,1,6,48,1,4,4
6,"11833_5183",2,3,1,48,1,1,2
18,"11834_5184",1,1,6,48,2,4,7
13,"11835_5185",1,1,6,1,1,1,2
17,"11836_5186",1,1,6,20,1,4,4
18,"11837_5186",1,3,1,20,2,4,7
9,"11838_5187",1,1,6,48,1,1,2
9,"11839_5187",1,2,1,48,1,1,2
2,"11840_5187",1,1,1,48,NA,NA,NA
1,"11841_5187",1,1,1,48,NA,NA,NA
15,"11842_5188",1,2,1,20,1,4,4
14,"11843_5188",1,2,6,20,1,4,4
9,"11844_5188",1,1,1,20,2,1,2
17,"11845_5189",1,1,6,48,1,4,4
4,"11846_5190",1,1,6,1,3,4,4
11,"11847_5190",1,1,6,1,1,2,5
5,"11848_5190",1,1,1,1,3,1,2
12,"11849_5190",1,2,1,1,1,1,2
11,"11850_5191",1,1,6,20,1,1,2
12,"11851_5191",1,1,1,20,2,1,2
5,"11852_5191",1,1,6,20,3,4,4
8,"11853_5192",1,1,6,20,1,1,2
9,"11854_5193",1,1,6,48,1,1,2
3,"11855_5193",1,1,6,48,NA,NA,NA
3,"11856_5193",1,1,6,48,NA,NA,NA
9,"11857_5193",1,1,1,48,1,1,2
10,"11858_5194",1,1,6,20,1,1,2
6,"11859_5194",2,3,1,20,1,2,5
4,"11860_5195",1,1,1,20,1,1,3
10,"11861_5195",1,1,1,20,1,1,2
5,"11862_5195",1,1,1,20,1,1,2
12,"11863_5196",1,1,6,48,1,1,2
11,"11864_5196",1,1,1,48,1,1,2
6,"11865_5197",1,1,1,48,2,1,2
12,"11866_5197",1,1,6,48,1,1,2
9,"11867_5198",1,1,6,48,1,1,2
3,"11868_5198",1,1,6,48,NA,NA,NA
3,"11869_5198",1,1,1,48,NA,NA,NA
10,"11870_5198",1,1,1,48,1,1,2
14,"11871_5199",1,1,6,20,1,4,4
16,"11872_5200",1,1,1,1,1,4,4
18,"11873_5201",1,1,6,20,1,4,4
14,"11874_5202",1,2,1,1,1,4,4
13,"11875_5202",1,1,6,1,1,4,4
18,"11876_5203",1,1,6,48,1,4,4
1,"11877_5204",1,1,6,1,NA,NA,NA
8,"11878_5204",1,1,6,1,1,1,2
9,"11879_5204",1,1,1,1,1,1,2
2,"11880_5204",1,1,6,1,NA,NA,NA
10,"11881_5205",1,1,6,48,1,1,2
9,"11882_5205",1,2,1,48,1,1,2
3,"11883_5205",1,1,6,48,NA,NA,NA
3,"11884_5205",1,1,6,48,NA,NA,NA
7,"11885_5206",1,1,1,20,1,1,2
10,"11886_5207",1,1,6,48,1,1,2
17,"11887_5208",1,3,6,1,3,4,7
11,"11888_5208",1,2,6,1,1,1,2
4,"11889_5208",1,1,1,1,2,4,4
17,"11890_5208",1,2,1,1,1,4,4
3,"11891_5209",1,2,6,1,NA,NA,NA
11,"11892_5209",1,3,1,1,2,1,2
8,"11893_5209",2,3,6,1,1,3,5
3,"11894_5209",1,2,6,1,2,NA,NA
14,"11895_5210",1,2,6,48,1,4,4
12,"11896_5211",1,1,1,48,1,1,2
12,"11897_5211",1,1,6,48,1,1,2
10,"11898_5212",1,1,1,48,4,1,2
3,"11899_5212",1,1,1,48,NA,NA,NA
11,"11900_5213",1,1,6,48,1,1,2
6,"11901_5213",1,1,1,48,2,2,6
5,"11902_5213",1,1,6,48,2,1,2
17,"11903_5214",1,1,6,20,4,4,7
12,"11904_5215",1,3,6,1,1,1,1
5,"11905_5215",1,1,1,1,2,4,4
15,"11906_5216",1,1,1,48,1,4,4
15,"11907_5217",1,2,1,1,1,4,4
14,"11908_5217",1,2,6,1,1,4,4
18,"11909_5218",1,2,6,20,1,4,4
11,"11910_5219",1,1,1,48,1,1,2
9,"11911_5220",1,1,6,1,1,1,2
9,"11912_5220",1,1,1,1,1,1,2
1,"11913_5220",1,1,1,1,NA,NA,NA
2,"11914_5220",1,1,6,1,NA,NA,NA
15,"11915_5221",1,2,1,1,1,4,4
12,"11916_5221",1,1,6,1,1,4,4
11,"11917_5222",1,1,6,48,1,4,4
4,"11918_5222",1,1,1,48,3,4,4
18,"11919_5222",1,2,1,48,4,4,7
14,"11920_5222",1,2,6,48,1,4,4
12,"11921_5223",1,1,1,48,1,1,2
12,"11922_5223",1,1,6,48,1,1,2
5,"11923_5223",1,1,1,48,2,4,4
10,"11924_5224",1,1,1,48,1,2,5
8,"11925_5225",1,1,1,48,1,1,2
8,"11926_5225",1,1,6,48,1,1,2
12,"11927_5226",1,1,6,1,1,1,2
6,"11928_5226",1,1,6,1,1,1,2
5,"11929_5226",1,1,1,1,2,1,2
11,"11930_5227",1,1,1,48,1,1,2
11,"11931_5227",1,1,6,48,1,1,2
4,"11932_5227",1,1,6,48,3,4,4
12,"11933_5228",1,1,1,1,2,1,1
11,"11934_5228",1,2,6,1,1,1,2
4,"11935_5228",1,1,1,1,2,4,4
3,"11936_5228",1,1,1,1,NA,NA,NA
8,"11937_5229",1,1,1,1,1,4,4
1,"11938_5229",1,1,6,1,NA,NA,NA
1,"11939_5229",1,1,6,1,NA,NA,NA
7,"11940_5229",1,1,6,1,1,1,1
15,"11941_5230",1,1,1,1,1,1,2
